BSC;Site;Nom secteur;Nbre TRX;ID;LAC;Longitude;Latitude
BZBSC3;DTMTN;DTMTN12;4;13 092;13;"15°17'19,54""E";"4°16'16,1""S"
BZBSC3;DTMTN;DTMTN13;4;13 093;13;"15°17'19,54""E";"4°16'16,1""S"
BZBSC3;DTMTN;DTMTN17;4;13 097;13;"15°17'19,54""E";"4°16'16,1""S"
BZBSC3;DTMTN;DTMTN18;4;13 098;13;"15°17'19,54""E";"4°16'16,1""S"
BZBSC3;DTMTN;DTMTN19;4;13 099;13;"15°17'19,54""E";"4°16'16,1""S"
BZBSC2;EDOU;EDOU1;4;12 831;12;"15°57'8,6""E";"1°6'39,4""S"
BZBSC2;EDOU;EDOU2;4;12 832;12;"15°57'8,6""E";"1°6'39,4""S"
BZBSC2;EDOU;EDOU3;4;12 833;12;"15°57'8,6""E";"1°6'39,4""S"
PNBSC3;ELF;ELF11;8;23 331;23;"11°51'16,9""E";"4°46'50,2""S"
PNBSC3;ELF;ELF12;8;23 332;23;"11°51'16,9""E";"4°46'50,2""S"
PNBSC3;ELF;ELF13;8;23 333;23;"11°51'16,9""E";"4°46'50,2""S"
PNBSC3;ELF;ELF17;4;23 337;23;"11°51'16,9""E";"4°46'50,2""S"
PNBSC3;ELF;ELF18;4;23 338;23;"11°51'16,9""E";"4°46'50,2""S"
PNBSC3;ELF;ELF19;4;23 339;23;"11°51'16,9""E";"4°46'50,2""S"
BZBSC2;ELOUNA;ELOUNA1;2;12 421;12;"15°55'0,12""E";"2°30'0""S"
BZBSC2;ELOUNA;ELOUNA2;2;12 422;12;"15°55'0,12""E";"2°30'0""S"
HWBSC01;EPENA;EPENA1;2;14 181;14;"17°27'32,04""E";"1°21'51,01""N"
HWBSC01;EPENA;EPENA2;2;14 182;14;"17°27'32,04""E";"1°21'51,01""N"
HWBSC01;EPENA;EPENA3;2;14 183;14;"17°27'32,04""E";"1°21'51,01""N"
BZBSC2;ETOMBI;ETOUMB1;2;12 791;12;"14°52'27,4""E";"0°0'30,9""N"
BZBSC2;ETOMBI;ETOUMB2;2;12 792;12;"14°52'27,4""E";"0°0'30,9""N"
BZBSC2;ETOMBI;ETOUMB3;2;12 793;12;"14°52'27,4""E";"0°0'30,9""N"
BZBSC2;ETSOUALI;ETSUAL1;2;12 131;12;"15°33'12,24""E";"2°51'15,8""S"
BZBSC2;ETSOUALI;ETSUAL2;2;12 132;12;"15°33'12,24""E";"2°51'15,8""S"
BZBSC2;EWO;EWO1;2;12 841;12;"14°52'13,08""E";"0°53'53,4""S"
BZBSC2;EWO;EWO2;2;12 842;12;"14°52'13,08""E";"0°53'53,4""S"
BZBSC2;EWO;EWO3;6;12 843;12;"14°52'13,08""E";"0°53'53,4""S"
BZBSC2;EWO_A;EWOA1;4;12 471;12;"14°49'28,67""E";"0°53'20,47""S"
BZBSC2;EWO_A;EWOA2;4;12 472;12;"14°49'28,67""E";"0°53'20,47""S"
BZBSC2;EWO_A;EWOA3;4;12 473;12;"14°49'28,67""E";"0°53'20,47""S"
BZBSC2;EWO_A;EWOA7;6;12 477;12;"14°49'28,67""E";"0°53'20,47""S"
BZBSC2;EWO_A;EWOA8;4;12 478;12;"14°49'28,67""E";"0°53'20,47""S"
BZBSC2;EWO_A;EWOA9;6;12 479;12;"14°49'28,67""E";"0°53'20,47""S"
BZBSC1;EX-TRESOR;XTRESO7;4;11 717;11;"15°16'11,39""E";"4°16'49,26""S"
BZBSC1;EX-TRESOR;XTRESO8;4;11 718;11;"15°16'11,39""E";"4°16'49,26""S"
BZBSC1;EX-TRESOR;XTRESO9;4;11 719;11;"15°16'11,39""E";"4°16'49,26""S"
PNBSC3;FAUBOURG;FOBOUR7;4;23 347;23;"11°52'9,26""E";"4°45'24,41""S"
PNBSC3;FAUBOURG;FOBOUR8;4;23 348;23;"11°52'9,26""E";"4°45'24,41""S"
PNBSC3;FAUBOURG;FOBOUR9;4;23 349;23;"11°52'9,26""E";"4°45'24,41""S"
BZBSC3;FERME;FERME1;4;13 691;13;"15°16'25,58""E";"4°13'10,54""S"
BZBSC3;FERME;FERME2;4;13 692;13;"15°16'25,58""E";"4°13'10,54""S"
BZBSC3;FERME;FERME3;4;13 693;13;"15°16'25,58""E";"4°13'10,54""S"
