Longitude;Latitude
15,16,41.3;4,14,59.39
15,16,41.3;4,14,59.39
15,16,41.3;4,14,59.39
15,16,41.3;4,14,59.39
15,16,41.3;4,14,59.39
16,5,8.52;"2,3,4.61""N"
16,5,8.52;"2,3,4.61""N"
16,5,8.52;"2,3,4.61""N"
12,3,49.32;4,7,52.28
12,3,49.32;4,7,52.28
12,3,49.32;4,7,52.28
14,25,15.96;2,27,1.12
14,25,15.96;2,27,1.12
14,25,15.96;2,27,1.12
14,30,32.3;0,52,12.8
14,30,32.3;0,52,12.8
14,30,32.3;0,52,12.8
14,33,17.5;0,6,20.7
14,33,17.5;0,6,20.7
13,52,5.16;3,7,50.99
13,52,5.16;3,7,50.99
13,52,5.16;3,7,50.99
15,35,48.4;3,13,34.6
15,35,48.4;3,13,34.6
15,35,48.4;3,13,34.6
14,4,1.2;3,49,0.08
14,4,1.2;3,49,0.08
12,19,16.04;3,28,51.19
12,19,16.04;3,28,51.19
12,19,16.04;3,28,51.19
12,54,57.3;4,28,48.8
12,54,57.3;4,28,48.8
12,54,57.3;4,28,48.8
13,24,42.48;4,10,39.68
13,24,42.48;4,10,39.68
13,24,42.48;4,10,39.68
15,13,37.4;4,17,1.9
15,13,37.4;4,17,1.9
15,13,37.4;4,17,1.9
15,13,37.4;4,17,1.9
15,13,37.4;4,17,1.9
15,13,37.4;4,17,1.9
14,9,17.5;3,42,38.4
14,9,17.5;3,42,38.4
14,9,17.5;3,42,38.4
13,35,34.4;4,15,51.8
13,35,34.4;4,15,51.8
13,35,34.4;4,15,51.8
14,47,43.1;4,20,40.6
14,47,43.1;4,20,40.6
14,47,43.1;4,20,40.6
14,45,20.56;4,21,51.77
14,45,20.56;4,21,51.77
14,45,20.56;4,21,51.77
14,45,20.56;4,21,51.77
14,45,20.56;4,21,51.77
14,45,20.56;4,21,51.77
15,13,1.42;4,17,5.75
15,13,1.42;4,17,5.75
15,13,1.42;4,17,5.75
15,13,1.42;4,17,5.75
15,13,1.42;4,17,5.75
15,13,1.42;4,17,5.75
12,11,39;4,26,24
11,51,46.1;4,47,44.7
11,51,46.1;4,47,44.7
11,51,46.1;4,47,44.7
11,51,46.1;4,47,44.7
11,51,46.1;4,47,44.7
11,51,46.1;4,47,44.7
11,52,20;4,48,23
11,52,20;4,48,23
11,52,20;4,48,23
11,52,20;4,48,23
11,52,20;4,48,23
11,52,20;4,48,23
12,3,53.8;3,50,2.5
12,3,53.8;3,50,2.5
12,3,53.8;3,50,2.5
13,17,21.7;3,14,58.2
13,17,21.7;3,14,58.2
13,17,21.7;3,14,58.2
12,7,10.42;4,50,29.54
12,7,10.42;4,50,29.54
12,7,10.42;4,50,29.54
15,14,39.08;4,14,40.77
15,14,39.08;4,14,40.77
15,14,39.08;4,14,40.77
15,14,39.08;4,14,40.77
15,14,39.08;4,14,40.77
15,14,39.08;4,14,40.77
15,9,23.36;4,19,30
15,9,23.36;4,19,30
15,9,23.36;4,19,30
15,9,23.36;4,19,30
15,9,23.36;4,19,30
15,9,23.36;4,19,30
14,34,46;2,19,33.6
14,34,46;2,19,33.6
14,34,46;2,19,33.6
14,57,7.88;1,35,7.4
14,57,7.88;1,35,7.4
14,57,7.88;1,35,7.4
12,21,16;4,21,52.98
12,21,16;4,21,52.98
12,21,16;4,21,52.98
11,58,48;4,39,1
11,58,48;4,39,1
11,58,48;4,39,1
15,22,9.8;4,5,11.6
15,22,9.8;4,5,11.6
15,22,9.8;4,5,11.6
15,7,39.5;4,24,10.3
15,7,39.5;4,24,10.3
15,7,39.5;4,24,10.3
15,41,41.28;"1,2,28.72""N"
15,41,41.28;"1,2,28.72""N"
17,36,38.62;0,39,19.92
17,36,38.62;0,39,19.92
17,36,38.62;0,39,19.92
11,52,27.3;4,46,0.3
11,52,27.3;4,46,0.3
11,52,27.3;4,46,0.3
11,52,27.3;4,46,0.3
11,52,27.3;4,46,0.3
11,52,27.3;4,46,0.3
11,50,3.7;4,40,36
11,50,3.7;4,40,36
11,50,3.7;4,40,36
16,47,58.56;"3,17,8.99""N"
16,47,58.56;"3,17,8.99""N"
13,23,49.87;4,49,17.91
13,23,49.87;4,49,17.91
13,23,49.87;4,49,17.91
16,59,27.96;"3,4,17.51""N"
16,59,27.96;"3,4,17.51""N"
16,59,27.96;"3,4,17.51""N"
13,3,53.2;4,6,32.1
13,3,53.2;4,6,32.1
13,3,53.2;4,6,32.1
14,41,27.1;4,33,50.1
14,41,27.1;4,33,50.1
14,41,27.1;4,33,50.1
17,6,50.5;1,2,16
17,6,50.5;1,2,16
17,6,50.5;1,2,16
17,2,37.32;"2,27,13.72""N"
17,2,37.32;"2,27,13.72""N"
17,2,37.32;"2,27,13.72""N"
17,1,40.7;"2,24,54""N"
17,1,40.7;"2,24,54""N"
11,55,37;4,47,26
11,55,37;4,47,26
11,55,37;4,47,26
11,55,37;4,47,26
11,55,37;4,47,26
11,55,37;4,47,26
13,51,50.7;4,17,41.3
13,51,50.7;4,17,41.3
13,51,50.7;4,17,41.3
12,36,8.6;3,57,39.9
12,36,8.6;3,57,39.9
12,36,8.6;3,57,39.9
12,8,27.6;4,22,7.7
12,8,27.6;4,22,7.7
12,8,27.6;4,22,7.7
15,15,51.01;4,12,24.8
15,15,51.01;4,12,24.8
15,15,51.01;4,12,24.8
15,15,51.01;4,12,24.8
15,15,51.01;4,12,24.8
15,15,51.01;4,12,24.8
13,34,10.3;3,58,6.7
13,34,10.3;3,58,6.7
13,34,10.3;3,58,6.7
15,11,9.38;4,18,37.33
15,11,9.38;4,18,37.33
15,11,9.38;4,18,37.33
15,10,42.42;4,19,21.68
15,10,42.42;4,19,21.68
15,10,42.42;4,19,21.68
11,42,7.02;4,26,0.36
11,42,7.02;4,26,0.36
13,32,40;4,9,49
13,32,40;4,9,49
13,32,40;4,9,49
14,47,50.64;4,11,5.71
14,47,50.64;4,11,5.71
14,47,50.64;4,11,5.71
12,37,11.9;3,29,6.1
12,37,11.9;3,29,6.1
12,37,11.9;3,29,6.1
15,17,19.1;4,8,34.84
15,17,19.1;4,8,34.84
15,17,19.1;4,8,34.84
15,5,44.27;4,20,10.18
15,5,44.27;4,20,10.18
15,5,44.27;4,20,10.18
11,53,36.2;4,46,0.2
11,53,36.2;4,46,0.2
11,53,36.2;4,46,0.2
11,53,36.2;4,46,0.2
11,53,36.2;4,46,0.2
11,53,36.2;4,46,0.2
11,53,13;4,45,16
11,53,13;4,45,16
11,53,13;4,45,16
11,53,13;4,45,16
11,53,13;4,45,16
11,53,13;4,45,16
15,30,21.9;"0,49,44.3""N"
15,30,21.9;"0,49,44.3""N"
12,3,8.2;4,34,49.25
12,3,8.2;4,34,49.25
12,3,8.2;4,34,49.25
16,18,26.49;2,0,1.37
16,18,26.49;2,0,1.37
16,18,26.49;2,0,1.37
15,37,24;0,0,18
15,37,24;0,0,18
15,37,24;0,0,18
12,8,35.8;4,25,26.1
12,8,35.8;4,25,26.1
12,8,35.8;4,25,26.1
12,35,7.9;3,49,42.9
12,35,7.9;3,49,42.9
12,35,7.9;3,49,42.9
15,35,31.7;4,0,17.4
15,35,31.7;4,0,17.4
15,35,31.7;4,0,17.4
15,16,50.6;4,16,15.9
15,16,50.6;4,16,15.9
15,16,50.6;4,16,15.9
15,16,50.6;4,16,15.9
15,16,50.6;4,16,15.9
15,16,50.6;4,16,15.9
12,48,39.9;4,20,42.8
12,48,39.9;4,20,42.8
12,48,39.9;4,20,42.8
13,20,56.4;3,31,47.1
13,20,56.4;3,31,47.1
13,20,56.4;3,31,47.1
15,17,13.9;4,14,9.3
15,17,13.9;4,14,9.3
15,17,13.9;4,14,9.3
15,17,13.9;4,14,9.3
15,17,13.9;4,14,9.3
15,17,13.9;4,14,9.3
15,15,16.5;4,10,31.1
15,15,16.5;4,10,31.1
15,15,16.5;4,10,31.1
15,15,16.5;4,10,31.1
15,15,16.5;4,10,31.1
15,15,16.5;4,10,31.1
15,16,40.4;4,15,27.5
15,16,40.4;4,15,27.5
15,16,40.4;4,15,27.5
15,16,40.4;4,15,27.5
15,16,40.4;4,15,27.5
15,16,40.4;4,15,27.5
15,17,23.93;4,13,36.55
15,17,23.93;4,13,36.55
15,17,23.93;4,13,36.55
15,17,23.93;4,13,36.55
15,17,23.93;4,13,36.55
15,17,23.93;4,13,36.55
15,27,39.8;3,47,4.9
15,27,39.8;3,47,4.9
15,27,39.8;3,47,4.9
15,14,33.12;4,15,57.83
15,14,33.12;4,15,57.83
15,14,33.12;4,15,57.83
15,14,33.12;4,15,57.83
15,14,33.12;4,15,57.83
15,14,33.12;4,15,57.83
15,16,6.96;4,10,5.16
15,16,6.96;4,10,5.16
15,16,6.96;4,10,5.16
